Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,89.599998,89.860001,89.199997,89.860001,89.860001,5246200
2017-06-20,89.769997,90.209999,89.610001,89.629997,89.629997,5674200
2017-06-21,89.620003,89.949997,89.290001,89.400002,89.400002,4164500
2017-06-22,89.269997,89.410004,88.900002,89.029999,89.029999,4536700
2017-06-23,89.029999,89.800003,88.900002,89.419998,89.419998,8782100
2017-06-26,89.629997,89.680000,89.269997,89.360001,89.360001,4373300
2017-06-27,89.360001,89.360001,88.610001,88.610001,88.610001,5180400
2017-06-28,89.080002,89.209999,88.260002,88.370003,88.370003,4875000
2017-06-29,88.019997,88.220001,86.930000,86.989998,86.989998,7163800
2017-06-30,87.050003,87.470001,87.000000,87.150002,87.150002,5937100
2017-07-03,87.400002,88.000000,87.180000,87.739998,87.739998,3607400
2017-07-05,87.860001,88.000000,87.489998,87.669998,87.669998,4974300
2017-07-06,87.650002,87.949997,87.360001,87.370003,87.370003,6038900
2017-07-07,87.690002,87.820000,87.279999,87.650002,87.650002,5142200
2017-07-10,87.629997,87.870003,86.889999,87.089996,87.089996,5356400
2017-07-11,87.230003,87.449997,86.309998,86.769997,86.769997,5838600
2017-07-12,87.239998,87.470001,86.830002,86.959999,86.959999,4374200
2017-07-13,86.769997,87.050003,86.500000,86.699997,86.699997,5448900
2017-07-14,86.959999,87.290001,86.730003,87.099998,87.099998,4406800
